tweet,text_clean,polarity_score,polarity
"Seorang petani pernah berkata, 25th yg akan datang, kita tdk akan perang tekhnologi,perang nuklir. Yg ada kita itu perang pangan, kalo semua lahan pertanian habis diganti lahan industri, mau makan apa engkau esok ? Minimal jd petani utk diri sndr itu sudah cukup.",seorang petani pernah berkata th yg akan datang kita tdk akan perang tekhnologiperang nuklir yg ada kita itu perang pangan kalo semua lahan pertanian habis diganti lahan industri mau makan apa engkau esok  minimal jd petani utk diri sndr itu sudah cukup,-4,negative
"@dispertan @subisaja @ganjarpranowo @SumarniGrobogan @poldajateng_ @TbGrobogan @DistanbunJateng @Biroisdajateng @humasGrobogan @pupuk_indonesia Setelah semua lahan pertanian habis di gusur, aku dan bapak mempunyai mimpi; adalah menanam pohon di langit akan diperluas jika semua sudah penuh sampai pelanet neptunus.",setelah semua lahan pertanian habis di gusur aku dan bapak mempunyai mimpi adalah menanam pohon di langit akan diperluas jika semua sudah penuh sampai pelanet neptunus,3,positive
@marzukialie_MA Sayangnya bukan prioritas bagi anggota dewan.. apa nunggu lahan pertanian habis berubah jd pabrik&amp,sayangnya bukan prioritas bagi anggota dewan apa nunggu lahan pertanian habis berubah jd pabrikamp,1,positive
"Ngeri aja lahan pertanian digeser untuk properti👷🏽‍♂️kalo lahan tani habis, mau mam semen?🤱🏼🤱🏼",ngeri aja lahan pertanian digeser untuk properti👷🏽‍♂️kalo lahan tani habis mau mam semen🤱🏼🤱🏼,1,positive
Mandi peluh habis macul lahan untuk persiapan menanam pepaya California...petani ya gitu harus semangat....#pertanian untuk kaltara dan Indonesia...,mandi peluh habis macul lahan untuk persiapan menanam pepaya californiapetani ya gitu harus semangat untuk kaltara dan indonesia,8,positive
@boyciomas Lahan pertanian makin habis,lahan pertanian makin habis,1,positive
@nagalana_ Habis itu lahan pertanian di desa pada ngilang,habis itu lahan pertanian di desa pada ngilang,-1,negative
@Sahabat_Bangsa @RamliRizal Pertanian kurang mendapat perhatian khusus dari pemerintah. Lahan yang ada habis dipakai pemerintah untuk infrastruktur. Padahal pertanian bisa jadi komoditi utama negara sebagai negara agraris.,pertanian kurang mendapat perhatian khusus dari pemerintah lahan yang ada habis dipakai pemerintah untuk infrastruktur padahal pertanian bisa jadi komoditi utama negara sebagai negara agraris,1,positive
Lama lama lahan pertanian habis kalo gini ceritanya. Kalo lahan pertanian jarang. Trus mau makan apa? Makan import terus? Apa mau makan minyak? Yakali 😭😭😭 #sabtupagi #miris,lama lama lahan pertanian habis kalo gini ceritanya kalo lahan pertanian jarang trus mau makan apa makan import terus apa mau makan minyak yakali 😭😭😭,6,positive
"Lahan pertanian perlu dijaga utk menopang produksi bahan kebutuhan pangan selalu meningkat permintaannya. Setuju alih fungsi harus dikendalikan, jika tidak maka bisa habis.",lahan pertanian perlu dijaga utk menopang produksi bahan kebutuhan pangan selalu meningkat permintaannya setuju alih fungsi harus dikendalikan jika tidak maka bisa habis,3,positive
Habis dapet cerita bahwa seorang 'Lalu' adek angkatan di gelanggang dapat jatah aset dari keluarganya berupa 75 ha lahan pertanian.,habis dapet cerita bahwa seorang lalu adek angkatan di gelanggang dapat jatah aset dari keluarganya berupa  ha lahan pertanian,12,positive
@kompasiana @kompascom Cara paling unggulan yang harus di kembangkan guna antisipasi lahan pertanian habis oleh perumahan.,cara paling unggulan yang harus di kembangkan guna antisipasi lahan pertanian habis oleh perumahan,8,positive
"Habis gelap, terbitlah terang.. Habis Kebakaran Hutan, muncullah Lahan Pertanian-Pemukiman..",habis gelap terbitlah terang habis kebakaran hutan muncullah lahan pertanianpemukiman,6,positive
"@Ronnie_Rusli Lahan pertanian di kampungku berubah jadi rumah , maka produksi pertanian menurun , sumber makanan habis , akan datang kelaparan melanda negeri",lahan pertanian di kampungku berubah jadi rumah  maka produksi pertanian menurun  sumber makanan habis  akan datang kelaparan melanda negeri,4,positive
Seru juga ya habis liat website investasi tapi dibidang pertanian Yang punya lahan tapi gaada petani bisa jadi mitra Petani yang gak punya lahan bisa jadi mitra Orang yang gak ada lahan gabisa bertani bisa investasi,seru juga ya habis liat website investasi tapi dibidang pertanian yang punya lahan tapi gaada petani bisa jadi mitra petani yang gak punya lahan bisa jadi mitra orang yang gak ada lahan gabisa bertani bisa investasi,6,positive
"Regenerasi petani kyaknya susah, anak muda mana yg skrg mau kerja ""ceblok pari""? (trmasuk saya) 😅. Boro2, punya sawah aja skrg mnding pada di jual (bikin rumah). Trs besok kl sawah (lahan pertanian) habis, ni orang2 pinter pada bct kl pemerintah impor beras/hsl tani lainya.👏👏",regenerasi petani kyaknya susah anak muda mana yg skrg mau kerja ceblok pari trmasuk saya 😅 boro punya sawah aja skrg mnding pada di jual bikin rumah trs besok kl sawah lahan pertanian habis ni orang pinter pada bct kl pemerintah impor berashsl tani lainya👏👏,7,positive
"Tetapi bertani pun masih belum cukup. Bertani pun zaman dulu masih ada batasnya, dikarenakan nutrisi dari tanah pasti habis bila dipakai lahan pertanian. Manusia mengakalinya dengan pupuk oraganik a.k.a tai hewan. Mereka menutrisi kembali tanah dengan pupuk.",tetapi bertani pun masih belum cukup bertani pun zaman dulu masih ada batasnya dikarenakan nutrisi dari tanah pasti habis bila dipakai lahan pertanian manusia mengakalinya dengan pupuk oraganik aka tai hewan mereka menutrisi kembali tanah dengan pupuk,0,neutral
@gncp_007 @msaid_didu Habiskan Sumber Daya Alam Indonesia. Habis itu mrk mengincar lahan pertanian dan perkebunan Ind #IndonesiaDijajahChina,habiskan sumber daya alam indonesia habis itu mrk mengincar lahan pertanian dan perkebunan ind,1,positive
@tubirfess Makanya tinggal tuh mending di apartemen. Gegayaan mesti rumah mesti rumah tapi di pelosok nun jauh di sono.. Mental mesti rumah begini nih yg bikin lahan pertanian makin habis.,makanya tinggal tuh mending di apartemen gegayaan mesti rumah mesti rumah tapi di pelosok nun jauh di sono mental mesti rumah begini nih yg bikin lahan pertanian makin habis,4,positive
Gak setuju. Sawah di Utara Karawang bakalan habis. Bikin rel kereta aja. Terbukti ratusan tahun bisa berdampingan dengan lahan pertanian.,gak setuju sawah di utara karawang bakalan habis bikin rel kereta aja terbukti ratusan tahun bisa berdampingan dengan lahan pertanian,4,positive
"@detikcom @detikfinance Nanti habis sawahnya. Kalau mau, bikin jaringan rel kereta aja. Ratusan tahun tetap bisa berdampingan dengan lahan pertanian.",nanti habis sawahnya kalau mau bikin jaringan rel kereta aja ratusan tahun tetap bisa berdampingan dengan lahan pertanian,8,positive
"@Kuis_Pulsa_ Semoga pak tani dan bu tani hidup sejahtera dan makmur selalu. Dan juga perluasan sektor pertanian juga, kasihan kalau lahan mereka habis dibabat jadi Ruko. #NTPNaikPanganStabil",semoga pak tani dan bu tani hidup sejahtera dan makmur selalu dan juga perluasan sektor pertanian juga kasihan kalau lahan mereka habis dibabat jadi ruko,12,positive
"@jokowi Bendungan baru dimana pak ? Lahan pertanian sudah jadi jalan toll, rumah warga jadi bandara, sawah2 dijadikan pabrik semen, hutan kalimantan dibabat habis untuk tambang",bendungan baru dimana pak  lahan pertanian sudah jadi jalan toll rumah warga jadi bandara sawah dijadikan pabrik semen hutan kalimantan dibabat habis untuk tambang,6,positive
Jangan heran kalau pemerintah Indonesia banyak impor pangan. Banyak lahan yang dibabat habis untuk proyek. Salah satunya adalah proyek bandara NYIA yang membutuhkan sekitar 600-an hektare dan 300 hektarenya adalah lahan pertanian.,jangan heran kalau pemerintah indonesia banyak impor pangan banyak lahan yang dibabat habis untuk proyek salah satunya adalah proyek bandara nyia yang membutuhkan sekitar an hektare dan  hektarenya adalah lahan pertanian,-1,negative
Bisa jadi. Lahan pertanian produktif sekarang habis untuk pabrik dan perumahan.,bisa jadi lahan pertanian produktif sekarang habis untuk pabrik dan perumahan,7,positive
"@IzzaKafani @Gamal_Albinsaid Negara agraris adalah negara yg mayoritas penduduknya petani, saya paham maksud anda jika pemerintah membangun jalan di tanah pertanian lama kelamaan lahan pertanian akan habis, benar itu akan habis jika pemerintah tidak membuka lahan² baru untuk pertanian",negara agraris adalah negara yg mayoritas penduduknya petani saya paham maksud anda jika pemerintah membangun jalan di tanah pertanian lama kelamaan lahan pertanian akan habis benar itu akan habis jika pemerintah tidak membuka lahan² baru untuk pertanian,4,positive
"@___klikmaya Semoga #Paceklik2019 tidak terjadi. Semoga para pemilik lahan pertanian tdk menjual tanah bwt perumahan terus, semoga hutan tidak digunduli sehingga air tanah tdk habis utk pengairan, semoga mhsiswa pertanian bisa berhasil membuat pertanian modern, semoga hujan lancar, Aamiin",semoga  tidak terjadi semoga para pemilik lahan pertanian tdk menjual tanah bwt perumahan terus semoga hutan tidak digunduli sehingga air tanah tdk habis utk pengairan semoga mhsiswa pertanian bisa berhasil membuat pertanian modern semoga hujan lancar aamiin,35,positive
@lelegurame @DesaKita2 Lahan pertanian dibabat habis oleh lahan sawitnya sandi,lahan pertanian dibabat habis oleh lahan sawitnya sandi,1,positive
@republikaonline Di indonesia sudah jarang yg bertani Generasi muda pada urban Lahan pertanian makin habis Dikota besar ngak ada sawah Orang kota ngak mau bertani,di indonesia sudah jarang yg bertani generasi muda pada urban lahan pertanian makin habis dikota besar ngak ada sawah orang kota ngak mau bertani,-7,negative
"Ia hanya memudar secara perlahan-lahan. . . Seperti pertanian yang bergeser ke perindustrian, pertanian hanya memudar, tetap ada, tak habis ditinggal zaman.",ia hanya memudar secara perlahanlahan   seperti pertanian yang bergeser ke perindustrian pertanian hanya memudar tetap ada tak habis ditinggal zaman,5,positive
"Lah mobil atau motor kan barang habis masa pakai, kalo telaten 10 sampe 20 tahun lah. Kalo ngga ya cuma 5 tahun, belum biaya perawatan, biaya bahan bakar dan biaya lain. Beda sama yang namanya lahan pertanian. Dia akan selalu bermanfaat, untuk pribadi atau kelompok.",lah mobil atau motor kan barang habis masa pakai kalo telaten  sampe  tahun lah kalo ngga ya cuma  tahun belum biaya perawatan biaya bahan bakar dan biaya lain beda sama yang namanya lahan pertanian dia akan selalu bermanfaat untuk pribadi atau kelompok,9,positive
"ditempat kami juga berasap, asap berasal dari lahan pertanian yg habis panen terus dibakar. Ngga tau deh kl asap di sekitaran wil imkot berasal dr mana :) #Indramayu",ditempat kami juga berasap asap berasal dari lahan pertanian yg habis panen terus dibakar ngga tau deh kl asap di sekitaran wil imkot berasal dr mana,-4,negative
@nono_nonu Nah di daerah saya lahan pertanian pada habis..bgmn ceritanya ya??,nah di daerah saya lahan pertanian pada habisbgmn ceritanya ya,4,positive
@kompascom @jokowi Selamatkan lahan pertanian. Apalagi dg pengairan irigasi primer. Lahan Pantura makin habis berlalih jadi perumahan dan industri. Ganti rumah biasa menjadi Rumah susun.,selamatkan lahan pertanian apalagi dg pengairan irigasi primer lahan pantura makin habis berlalih jadi perumahan dan industri ganti rumah biasa menjadi rumah susun,10,positive
"Dahulu cm hutan belantara. Thn 60an negeri ini krisis pangan. Lalu hutan dibabat habis, tujuan awal untuk buka lahan sawah untuk pertanian. Biadabnya setelah dibabat habis, bkn untuk sawah malah dibangun perumahan. Sawah yg dijanjikan hanya angan. Sawahangan. Sawangan :(",dahulu cm hutan belantara thn an negeri ini krisis pangan lalu hutan dibabat habis tujuan awal untuk buka lahan sawah untuk pertanian biadabnya setelah dibabat habis bkn untuk sawah malah dibangun perumahan sawah yg dijanjikan hanya angan sawahangan sawangan,15,positive
@ibnupurna @Ayaniulva Lahan pertanian habis buat property dan infrastruktur? Peruntukan lahan di switch sih gpp asal ada kompensasi untuk technicall progress peningkatan produksi. Impor itu #solusiterakhir,lahan pertanian habis buat property dan infrastruktur peruntukan lahan di switch sih gpp asal ada kompensasi untuk technicall progress peningkatan produksi impor itu,4,positive
"Masak gak pernah SIUMAN ? Negeri ini agraris. Tapi Kebijakan selalu merugikan Petani. Lahan Pertanian HABIS, Pembiayaan Khusus Petani mimpi aja. Ini yg namanya MATI DI LUMBUNG PADI. Impor Beras supaya gak mati ? Tetap aja Mati. Mati HARGA DIRI....",masak gak pernah siuman  negeri ini agraris tapi kebijakan selalu merugikan petani lahan pertanian habis pembiayaan khusus petani mimpi aja ini yg namanya mati di lumbung padi impor beras supaya gak mati  tetap aja mati mati harga diri,20,positive
Kl lahan pertanian habis dibabat. Lalu kita mau makan apa? Kita ini salah.,kl lahan pertanian habis dibabat lalu kita mau makan apa kita ini salah,0,neutral
"kyk pas di karanganyar seger seger bgt men hasil usahatani nya, beneran keluar rumah lsngsung tegalan yg isinya sayuraaan. di wonogiri juga, sawah dimana mana yg beneran indah. sayang bgt kalau lama lama malah habis lahan nya buat perumahan dan blm berubah jd pertanian komersial",kyk pas di karanganyar seger seger bgt men hasil usahatani nya beneran keluar rumah lsngsung tegalan yg isinya sayuraaan di wonogiri juga sawah dimana mana yg beneran indah sayang bgt kalau lama lama malah habis lahan nya buat perumahan dan blm berubah jd pertanian komersial,20,positive
@kementan @ipbofficial @DPR_RI @saididu @DJRachbini @IndefEconomics @KemensetnegRI @PerekonomianRI @hariankompas @korantempo @ganjarpranowo Lahan pertanian semakin habis dibuat gedung,lahan pertanian semakin habis dibuat gedung,1,positive
"Ironis, Lahan Pertanian Kita Habis Dibangun Mall",ironis lahan pertanian kita habis dibangun mall,1,positive
@Gerindra langkah2 apa yang akan di ambil HKTI agar lahan pertanian tidak habis di bangun Mall,langkah apa yang akan di ambil hkti agar lahan pertanian tidak habis di bangun mall,2,positive
@jokowi darurat pangan di kab.brebes barat lahan pertanian padi habis di serang hama tikus.sudah 2 kali ini dalam setahun.tolong bantuanya!!,darurat pangan di kabbrebes barat lahan pertanian padi habis di serang hama tikussudah  kali ini dalam setahuntolong bantuanya,-2,negative
"(11) Petani Telukjambe: Harta kami sdh habis, rumah sudah tdk punya, lahan pertanian sdh tdk ada, anak kmi sudah tdk sekolah slma 6 bulan.",petani telukjambe harta kami sdh habis rumah sudah tdk punya lahan pertanian sdh tdk ada anak kmi sudah tdk sekolah slma  bulan,5,positive
"@jokowi .Pak Jokowi tolong daerah di kabupaten Bandung Barat lahan pertanian minta di perhatikan, makin habis sama perumahan swasta.",pak jokowi tolong daerah di kabupaten bandung barat lahan pertanian minta di perhatikan makin habis sama perumahan swasta,3,positive
"@Walhi_Sulsel pesan anda disonan. Di satu sisi bilang lahan pertanian melimpah, di sisi lain lahan pertanian habis. Jadi yang mana? 😀",pesan anda disonan di satu sisi bilang lahan pertanian melimpah di sisi lain lahan pertanian habis jadi yang mana 😀,5,positive
Adakah teman teman yang pernah eksperimen konversi lahan padi sawah jadi lahan padi gogo?,adakah teman teman yang pernah eksperimen konversi lahan padi sawah jadi lahan padi gogo,1,positive
"@DataBanyumas @sgiinanjar_ @Dandhy_Laksono @adsafha Itu hasil data kompilasi? Data karakter lahan tu hasil campuran data tanah, iklim, topografi dll, g mungkin hasil nya seperti itu. Soal gambut. tdk semua gambut bisa d konversi ke sawah, pas d sumsel ngukur g kedalaman gambut yg d jadiin sawah sama yg tdk d jadiin sawah?",itu hasil data kompilasi data karakter lahan tu hasil campuran data tanah iklim topografi dll g mungkin hasil nya seperti itu soal gambut tdk semua gambut bisa d konversi ke sawah pas d sumsel ngukur g kedalaman gambut yg d jadiin sawah sama yg tdk d jadiin sawah,12,positive
@DataBanyumas @Dandhy_Laksono @adsafha oh berarti konversi lahan hutan utk sawah itu menurut anda sustainable ya? ya ya ya saya tampung masukannya. nanti saya buang di selokan 🙈,oh berarti konversi lahan hutan utk sawah itu menurut anda sustainable ya ya ya ya saya tampung masukannya nanti saya buang di selokan 🙈,9,positive
"@DataBanyumas @Dandhy_Laksono @adsafha iya terbukti to masyarakat adat di jawa dan satwa liarnya banyak yg punah? apa kesalahan itu harus diulangi utk sisa kekayaan yg kita miliki? apa konversi lahan hutan menjadi sawah di jawa menjamin ketahanan pangan kita selama ini, atau malah justru membuat semakin rentan?",iya terbukti to masyarakat adat di jawa dan satwa liarnya banyak yg punah apa kesalahan itu harus diulangi utk sisa kekayaan yg kita miliki apa konversi lahan hutan menjadi sawah di jawa menjamin ketahanan pangan kita selama ini atau malah justru membuat semakin rentan,-4,negative
"@alifmadani_ @mhbrsbr @ceritamale Belum lagi tentang ijin konversi sawah dengan alasan proyek strategis nasional, sebelum ada UU ini aja udah berbagai cara dilakukan untuk merampas lahan produktif dengan alasan proyek strategis nasional.",belum lagi tentang ijin konversi sawah dengan alasan proyek strategis nasional sebelum ada uu ini aja udah berbagai cara dilakukan untuk merampas lahan produktif dengan alasan proyek strategis nasional,4,positive
"Jangan sebut Indonesia negara agraris jika konversi lahan terus berlanjut. Di tahun 2018 tersisa 7,1 ha lahan sawah di Indonesia (BPS 2018), selanjutnya? Tergantung pada kerakusan pemegang tahta roda ekonomi.",jangan sebut indonesia negara agraris jika konversi lahan terus berlanjut di tahun  tersisa  ha lahan sawah di indonesia bps  selanjutnya tergantung pada kerakusan pemegang tahta roda ekonomi,-7,negative
"@msaid_didu Pak Said Didu, sampai sekarang kebijakan konversi lahan sawah menjadi lahan komersil msh berlanjut, menurut bapak apakah sebaiknya lahan pertanian itu tdk diserahkan kpd otoritas Provinsi/ Kabupaten?",pak said didu sampai sekarang kebijakan konversi lahan sawah menjadi lahan komersil msh berlanjut menurut bapak apakah sebaiknya lahan pertanian itu tdk diserahkan kpd otoritas provinsi kabupaten,3,positive
"@hermantoregar Untuk menahan laju konversi lahan spt di Bali ada sawah yg diberi papan info ""perizinan lahan ini hanya untuk sawah"". tp ya pemda hrs konsisten tdk tergoda high eco growth dr sektor industri/parwis/dll krn biasanya high eco growth/return diikuti high risk jg😃",untuk menahan laju konversi lahan spt di bali ada sawah yg diberi papan info perizinan lahan ini hanya untuk sawah tp ya pemda hrs konsisten tdk tergoda high eco growth dr sektor industriparwisdll krn biasanya high eco growthreturn diikuti high risk jg😃,5,positive
"@JL_Apatheia @hotradero Pembebasan lahan buat tol lain cerita, tp yg jd concern adalah konversi lahan sawah produktif mjd lahan pemukiman/komersial/recreational di daerah2 pinggiran kota. Kalau tata guna tanah ga diatur dan ga ada insentif buat petani, bisa makin habis lahan sawah. Gmn mau swasembada?",pembebasan lahan buat tol lain cerita tp yg jd concern adalah konversi lahan sawah produktif mjd lahan pemukimankomersialrecreational di daerah pinggiran kota kalau tata guna tanah ga diatur dan ga ada insentif buat petani bisa makin habis lahan sawah gmn mau swasembada,2,positive
@halomo_tambunan @detikcom @jokowi @ganjarpranowo @ridwankamil @KhofifahIP Iya ini gw setuju. Drpd balik jkt atau konversi lahan gambut Kalimantan jadi sawah mending dberdayakan aja dkampung,iya ini gw setuju drpd balik jkt atau konversi lahan gambut kalimantan jadi sawah mending dberdayakan aja dkampung,5,positive
@ibuedey @satriohendri @LisaAmartatara3 lahan karet dak pacak di konversi ke sawah.. modal apo nian yg bejuta2? wong dana desa bae pengoptimalan nyo dak suceng karno kurang pengawasan dr pemerintah. lah tau mayoritas kepala desa minim SDM. diunjuk dana idak di awasi.. mak mano jadinyo itu hasil nyo..,lahan karet dak pacak di konversi ke sawah modal apo nian yg bejuta wong dana desa bae pengoptimalan nyo dak suceng karno kurang pengawasan dr pemerintah lah tau mayoritas kepala desa minim sdm diunjuk dana idak di awasi mak mano jadinyo itu hasil nyo,7,positive
@brianperdana Salah yg konversi lahan atau yg menganggap pertanian hanya sawah :),salah yg konversi lahan atau yg menganggap pertanian hanya sawah,-2,negative
"@JackVardan Kok di era Orba yg memakan banyak sawah diam selama 42 thn, meski dibangun dgn hebatnya oleh Investor asing barat dan konglomerat properti swasta kita. Sekarang baru 5 thn saja, China dan Korea masuk udah rame. Ada peta Tata Ruangnya mana tetap Sawah Irigasi, mana Lahan Konversi",kok di era orba yg memakan banyak sawah diam selama  thn meski dibangun dgn hebatnya oleh investor asing barat dan konglomerat properti swasta kita sekarang baru  thn saja china dan korea masuk udah rame ada peta tata ruangnya mana tetap sawah irigasi mana lahan konversi,0,neutral
"@Jhonkosmik Tanpa bermaksud apa-apa, cuma sepertinya Pak Amran perlu memahami kembali. Angka konversi sawah ke non sawah itu nyata. Barangkali 2 tahun lalu masih sawah, namun sekarang sudah jadi pemukiman. Metode KSA itu untuk menghitung luas panen, bukan luas lahan, Pak Amran 😊",tanpa bermaksud apaapa cuma sepertinya pak amran perlu memahami kembali angka konversi sawah ke non sawah itu nyata barangkali  tahun lalu masih sawah namun sekarang sudah jadi pemukiman metode ksa itu untuk menghitung luas panen bukan luas lahan pak amran 😊,11,positive
"@iwanfals Menurut Jokowi : setiap tahun ada 40.000 hektar sawah produktif di Jawa yg berubah menjadi lahan properti ....# kalo Pindah ke Jonggol , bisa lebih parah konversi lahan sawah ke lahan properti di Jabar",menurut jokowi  setiap tahun ada  hektar sawah produktif di jawa yg berubah menjadi lahan properti  kalo pindah ke jonggol  bisa lebih parah konversi lahan sawah ke lahan properti di jabar,5,positive
Takkan ada konversi lahan sawah ke sawit bila pendapatan petani sawah lebih tinggi dr sawit,takkan ada konversi lahan sawah ke sawit bila pendapatan petani sawah lebih tinggi dr sawit,1,positive
"@Karsono12732862 @KigundulG @ide2nesia @budimandjatmiko Cara2 SBY masih konvensional, melarang saja tidak cukup, alih fungsi lahan tak bisa dielakkan karena desakan pertumbuhan penduduk. Harus ada inovasi yang bisa menjawab tantangan masalah yang ada. #BukitAlgoritma akan menghadirkan tehnologi pertanian utk mengakomodir masalh",cara sby masih konvensional melarang saja tidak cukup alih fungsi lahan tak bisa dielakkan karena desakan pertumbuhan penduduk harus ada inovasi yang bisa menjawab tantangan masalah yang ada  akan menghadirkan tehnologi pertanian utk mengakomodir masalh,-2,negative
Apa saja tantangannya? - Alih fungsi lahan -&gt; Lahan pertanian semakin sempit - Perubahan iklim -&gt; Budidaya semakin sulit. - Pertambahan penduduk -&gt; Food demand tinggi - Hama dan penyakit semakin resisten -&gt; Risiko gagal panen besar.,apa saja tantangannya  alih fungsi lahan gt lahan pertanian semakin sempit  perubahan iklim gt budidaya semakin sulit  pertambahan penduduk gt food demand tinggi  hama dan penyakit semakin resisten gt risiko gagal panen besar,-9,negative
"sedimentasi tanah hasil run off saluran disebabkan oleh tanah yg terkikis sama tetesan air karna udh gada tanaman penutupnya. sumbernya dari hulunya karna banyaknya alih fungsi lahan hutan jadi kebutuhan manusia, ntah pertanian maupun kebutuhan wisata.",sedimentasi tanah hasil run off saluran disebabkan oleh tanah yg terkikis sama tetesan air karna udh gada tanaman penutupnya sumbernya dari hulunya karna banyaknya alih fungsi lahan hutan jadi kebutuhan manusia ntah pertanian maupun kebutuhan wisata,-3,negative
"Ada beragam penyebab degradasi lahan, diantaranya erosi air, angin, degradasi secara kimiawi dan biologi. Tak hanya itu saat ini degradasi lahan juga disebabkan oleh pencemaran akibat industri pertanian dan pertambangan, alih fungsi pertanian untuk perumahan dan lainnya.",ada beragam penyebab degradasi lahan diantaranya erosi air angin degradasi secara kimiawi dan biologi tak hanya itu saat ini degradasi lahan juga disebabkan oleh pencemaran akibat industri pertanian dan pertambangan alih fungsi pertanian untuk perumahan dan lainnya,5,positive
@noirceur_blanc “seiring dengan tingginya angka pertumbuhan penduduk di Indonesia mendorong terjadinya alih fungsi lahan pertanian menjadi pemukiman”,“seiring dengan tingginya angka pertumbuhan penduduk di indonesia mendorong terjadinya alih fungsi lahan pertanian menjadi pemukiman”,4,positive
"Perbedaan anak kecil yang hidup di lingkungan pedesaan dengan anak kecil di kelilingi batu beton pembangunan hasil alih fungsi lahan pertanian adalah, sing siji ngidak tunggak jagung sijine ngidak paku netiyeng.",perbedaan anak kecil yang hidup di lingkungan pedesaan dengan anak kecil di kelilingi batu beton pembangunan hasil alih fungsi lahan pertanian adalah sing siji ngidak tunggak jagung sijine ngidak paku netiyeng,3,positive
"Sumprit gue gedeng banget sama alih fungsi lahan pertanian (dan hutan), apalagi kalo lahan pertaniannya dijadiin bar. Ya Allah, gedeg banget AAAAAAAAAAAAAAA",sumprit gue gedeng banget sama alih fungsi lahan pertanian dan hutan apalagi kalo lahan pertaniannya dijadiin bar ya allah gedeg banget aaaaaaaaaaaaaaa,15,positive
"Kira-kira alih fungsi lahan pertanian selain mempengaruhi SDA, lingkungan sama angka pengangguran, berpengaruh kemana lagi ya? gue buntu banget astaghfirullah bantu gue dong😔",kirakira alih fungsi lahan pertanian selain mempengaruhi sda lingkungan sama angka pengangguran berpengaruh kemana lagi ya gue buntu banget astaghfirullah bantu gue dong😔,3,positive
Ini salah satu contoh pemimpin yang beda di mulut beda yang di kerjakan. Mulut ngomong gini kebijakan yang keluar alih fungsi lahan pertanian.. Kasus pembangunan kantor gubernur sumsel contoh nyata di depan mata alih fungsi lahan pertanian untuk pembangunan.,ini salah satu contoh pemimpin yang beda di mulut beda yang di kerjakan mulut ngomong gini kebijakan yang keluar alih fungsi lahan pertanian kasus pembangunan kantor gubernur sumsel contoh nyata di depan mata alih fungsi lahan pertanian untuk pembangunan,-7,negative
@ishtarsumrs @Mukhlizarrr @r4ym0ndv @aidonkerr @alfabloodtype @CNNIndonesia Lahan pertanian produktif sudah banyak yg jadi perumahan. Alih fungsi lahan produktif yang brutal.,lahan pertanian produktif sudah banyak yg jadi perumahan alih fungsi lahan produktif yang brutal,7,positive
@notrellylost Mungkin hubungannya sama alih fungsi hutan biar jadi lahan pertanian gitu ya?😂,mungkin hubungannya sama alih fungsi hutan biar jadi lahan pertanian gitu ya😂,8,positive
"@hyvaikal Zodiak nu sok alih fungsi lahan pertanian jadi pabrik naon? Atawa aquarius siga na mah, da resep babanjiran.",zodiak nu sok alih fungsi lahan pertanian jadi pabrik naon atawa aquarius siga na mah da resep babanjiran,1,positive
"Ini bener banget. Gue kalo dapet kerjaan alih fungsi lahan pertanian jadi kawasan komersil tuh kadang suka sedih. Soalnya bukan cuma masyarakat yg terdampak, tapi lingkungan juga. Lebih parah malah. Soalnya yg tadinya lahan itu bisa jadi kawasan resapan, tapi krn terbangun-",ini bener banget gue kalo dapet kerjaan alih fungsi lahan pertanian jadi kawasan komersil tuh kadang suka sedih soalnya bukan cuma masyarakat yg terdampak tapi lingkungan juga lebih parah malah soalnya yg tadinya lahan itu bisa jadi kawasan resapan tapi krn terbangun,9,positive
Lalu gimana cara mencegah alih fungsi lahan? Nah disini lah peran pemerintah -menetapkan tata ruang daerah -merehabilitasi fasilitas penunjang kegiatan pertanian -pemaksimalan gapoktan -melakukan konsolidasi lahan pertanian -dll.,lalu gimana cara mencegah alih fungsi lahan nah disini lah peran pemerintah menetapkan tata ruang daerah merehabilitasi fasilitas penunjang kegiatan pertanian pemaksimalan gapoktan melakukan konsolidasi lahan pertanian dll,13,positive
"Oh iya! Berkurangnya lahan pertanian ini juga berpengaruh terhadap ketahanan pangan juga, jadi alih fungsi lahan pertanian ini juga merupakan masalah yang cukup serius.",oh iya berkurangnya lahan pertanian ini juga berpengaruh terhadap ketahanan pangan juga jadi alih fungsi lahan pertanian ini juga merupakan masalah yang cukup serius,-2,negative
Apalagi ketertarikan terhadap pertanian untuk generasi sekarang sudah menurun. Hal ini juga salah satu penyebab adanya alih fungsi lahan pertanian.,apalagi ketertarikan terhadap pertanian untuk generasi sekarang sudah menurun hal ini juga salah satu penyebab adanya alih fungsi lahan pertanian,1,positive
"Dalam perspektif seorang perencana, nggak semua alih fungsi lahan itu negatif. Sebenernya alih fungsi lahan di perkotaan juga ada hubungannya sama lahan tidur, yang mana rendahnya jumlah petani yang menyebabkan penggunaan lahan (pertanian) yang kurang maksimal -",dalam perspektif seorang perencana nggak semua alih fungsi lahan itu negatif sebenernya alih fungsi lahan di perkotaan juga ada hubungannya sama lahan tidur yang mana rendahnya jumlah petani yang menyebabkan penggunaan lahan pertanian yang kurang maksimal,8,positive
